,dataset,embed_model,fm,fold,framework,model_name,prec,rec,vector_name,ds_size
48,EN-DE(V1),MultiKE,0.9751200349192491,1,EAGER RF,RF,0.9934776163652534,0.9574285714285714,SimAndEmb,15K
3,EN-DE(V1),MultiKE,0.9828961276064188,2,EAGER MLP,MLP,0.9917587744812876,0.9741904761904762,SimAndEmb,15K
48,EN-DE(V1),MultiKE,0.9774589170585098,2,EAGER RF,RF,0.995359857833942,0.960190476190476,SimAndEmb,15K
3,EN-DE(V1),MultiKE,0.9769219604238232,3,EAGER MLP,MLP,0.9928213196971188,0.9615238095238096,SimAndEmb,15K
48,EN-DE(V1),MultiKE,0.9749138725799408,3,EAGER RF,RF,0.9937679295677121,0.9567619047619048,SimAndEmb,15K
3,EN-DE(V1),MultiKE,0.9777670372160464,4,EAGER MLP,MLP,0.9926398429833171,0.9633333333333334,SimAndEmb,15K
48,EN-DE(V1),MultiKE,0.9760186037498184,4,EAGER RF,RF,0.993294546888867,0.9593333333333334,SimAndEmb,15K
3,EN-DE(V1),MultiKE,0.9768632565328697,5,EAGER MLP,MLP,0.9910810545917867,0.9630476190476189,SimAndEmb,15K
48,EN-DE(V1),MultiKE,0.9753493788819876,5,EAGER RF,RF,0.9942619707162644,0.9571428571428572,SimAndEmb,15K
3,EN-DE(V2),MultiKE,0.982062350119904,1,EAGER MLP,MLP,0.9891787439613526,0.9750476190476189,SimAndEmb,15K
48,EN-DE(V2),MultiKE,0.9821600771456124,1,EAGER RF,RF,0.99462890625,0.97,SimAndEmb,15K
3,EN-DE(V2),MultiKE,0.979955671195914,2,EAGER MLP,MLP,0.9917105519797152,0.9684761904761904,SimAndEmb,15K
48,EN-DE(V2),MultiKE,0.980163135286452,2,EAGER RF,RF,0.9936392993443586,0.9670476190476189,SimAndEmb,15K
3,EN-DE(V2),MultiKE,0.9820422198872863,3,EAGER MLP,MLP,0.984958804368653,0.9791428571428572,SimAndEmb,15K
48,EN-DE(V2),MultiKE,0.9813282001924928,3,EAGER RF,RF,0.9918287937743192,0.9710476190476189,SimAndEmb,15K
3,EN-DE(V2),MultiKE,0.9811847360569752,4,EAGER MLP,MLP,0.9916350549557436,0.9709523809523808,SimAndEmb,15K
48,EN-DE(V2),MultiKE,0.9793183242539651,4,EAGER RF,RF,0.9916040222591038,0.9673333333333334,SimAndEmb,15K
3,EN-DE(V2),MultiKE,0.9807257870704158,5,EAGER MLP,MLP,0.9900048520135856,0.9716190476190476,SimAndEmb,15K
48,EN-DE(V2),MultiKE,0.9798048120591362,5,EAGER RF,RF,0.994312610315748,0.9657142857142856,SimAndEmb,15K
3,EN-FR(V1),MultiKE,0.9700873468989409,1,EAGER MLP,MLP,0.9946962874011808,0.9466666666666668,SimAndEmb,15K
48,EN-FR(V1),MultiKE,0.9690127077223852,1,EAGER RF,RF,0.9952811244979921,0.944095238095238,SimAndEmb,15K
3,EN-FR(V1),MultiKE,0.949901120632828,2,EAGER MLP,MLP,0.939374185136897,0.9606666666666668,SimAndEmb,15K
48,EN-FR(V1),MultiKE,0.9676315274789752,2,EAGER RF,RF,0.9942725080385852,0.9423809523809524,SimAndEmb,15K
3,EN-FR(V1),MultiKE,0.962189838519102,3,EAGER MLP,MLP,0.9959233591520588,0.9306666666666666,SimAndEmb,15K
48,EN-FR(V1),MultiKE,0.9673381576373948,3,EAGER RF,RF,0.9939710610932476,0.942095238095238,SimAndEmb,15K
3,EN-FR(V1),MultiKE,0.9708520179372196,4,EAGER MLP,MLP,0.99430910543131,0.9484761904761904,SimAndEmb,15K
48,EN-FR(V1),MultiKE,0.9659291168983748,4,EAGER RF,RF,0.9937550362610796,0.9396190476190476,SimAndEmb,15K
3,EN-FR(V1),MultiKE,0.9716367168528413,5,EAGER MLP,MLP,0.9913776015857284,0.9526666666666668,SimAndEmb,15K
48,EN-FR(V1),MultiKE,0.9650370225077232,5,EAGER RF,RF,0.9946426766400486,0.9371428571428572,SimAndEmb,15K
3,EN-FR(V2),MultiKE,0.9587239263803682,1,EAGER MLP,MLP,0.9890632911392404,0.9301904761904762,SimAndEmb,15K
48,EN-FR(V2),MultiKE,0.9872788139646104,1,EAGER RF,RF,0.9915465898174832,0.9830476190476192,SimAndEmb,15K
3,EN-FR(V2),MultiKE,0.977728177010044,2,EAGER MLP,MLP,0.9966366604016224,0.9595238095238096,SimAndEmb,15K
48,EN-FR(V2),MultiKE,0.9847998081994724,2,EAGER RF,RF,0.9916948334138096,0.978,SimAndEmb,15K
3,EN-FR(V2),MultiKE,0.9776104999034936,3,EAGER MLP,MLP,0.9908059467918624,0.9647619047619048,SimAndEmb,15K
48,EN-FR(V2),MultiKE,0.9889584627885856,3,EAGER RF,RF,0.9927070338739084,0.9852380952380952,SimAndEmb,15K
3,EN-FR(V2),MultiKE,0.9849468571153752,4,EAGER MLP,MLP,0.9948508695229769,0.9752380952380952,SimAndEmb,15K
48,EN-FR(V2),MultiKE,0.9870763928776566,4,EAGER RF,RF,0.9922055427251733,0.982,SimAndEmb,15K
3,EN-FR(V2),MultiKE,0.9748909355307804,5,EAGER MLP,MLP,0.9926949654491608,0.9577142857142856,SimAndEmb,15K
48,EN-FR(V2),MultiKE,0.9869481765834932,5,EAGER RF,RF,0.9945841392649905,0.9794285714285714,SimAndEmb,15K
3,D-W(V1),MultiKE,0.8436600963356293,1,EAGER MLP,MLP,0.9934376088892328,0.7331285714285715,SimAndEmb,100K
48,D-W(V1),MultiKE,0.8371683019862748,1,EAGER RF,RF,0.9888289901329234,0.7258428571428571,SimAndEmb,100K
3,D-W(V1),MultiKE,0.8965276701286622,2,EAGER MLP,MLP,0.979922060318536,0.8262142857142857,SimAndEmb,100K
48,D-W(V1),MultiKE,0.8307023129274202,2,EAGER RF,RF,0.9862357399516974,0.7175428571428571,SimAndEmb,100K
3,D-W(V1),MultiKE,0.8560476863356559,3,EAGER MLP,MLP,0.9918702246979564,0.7529428571428571,SimAndEmb,100K
48,D-W(V1),MultiKE,0.8346485260770976,3,EAGER RF,RF,0.9870502194051682,0.7230142857142857,SimAndEmb,100K
3,D-W(V1),MultiKE,0.8832809066911148,4,EAGER MLP,MLP,0.9885539397799242,0.7982714285714285,SimAndEmb,100K
48,D-W(V1),MultiKE,0.8327091445720382,4,EAGER RF,RF,0.9883038640422316,0.7194428571428572,SimAndEmb,100K
3,D-W(V1),MultiKE,0.8609871272397955,5,EAGER MLP,MLP,0.9919511104486509,0.7605714285714286,SimAndEmb,100K
48,D-W(V1),MultiKE,0.8291469371169842,5,EAGER RF,RF,0.9882187827393308,0.7141857142857143,SimAndEmb,100K
3,D-W(V2),MultiKE,0.9594978526593988,1,EAGER MLP,MLP,0.9869213924337386,0.9335571428571428,SimAndEmb,100K
48,D-W(V2),MultiKE,0.9252892335974354,1,EAGER RF,RF,0.988027449262666,0.8700428571428571,SimAndEmb,100K
3,D-W(V2),MultiKE,0.9504107088530576,2,EAGER MLP,MLP,0.9888060277610512,0.9148857142857144,SimAndEmb,100K
