,model_name,vector_name,dataset,embed_model,fm,prec,rec,fold,ds_size
45,RF,OnlyEmb,D-W(V1),RDGCN,0.7603618044424091,0.9530711825487944,0.6324761904761905,5,15K
48,RF,SimAndEmb,D-W(V1),RDGCN,0.8423578166748459,0.9853297614491644,0.7356190476190476,5,15K
0,MLP,OnlyEmb,D-W(V1),MultiKE,0.8758885195602147,0.9457758144671452,0.8156190476190476,5,15K
3,MLP,SimAndEmb,D-W(V1),MultiKE,0.8967990022864271,0.9868481244281794,0.8218095238095238,5,15K
45,RF,OnlyEmb,D-W(V1),MultiKE,0.8787971147008026,0.9416503374700632,0.8238095238095238,5,15K
48,RF,SimAndEmb,D-W(V1),MultiKE,0.869085848854635,0.9920576735092864,0.7732380952380953,5,15K
0,MLP,OnlyEmb,D-W(V2),BootEA,0.9449371210982516,0.9969341368009303,0.8980952380952381,1,15K
3,MLP,SimAndEmb,D-W(V2),BootEA,0.9535566728060132,0.9988528522265095,0.9121904761904762,1,15K
45,RF,OnlyEmb,D-W(V2),BootEA,0.8461665111684321,0.9984457971765316,0.7341904761904762,1,15K
48,RF,SimAndEmb,D-W(V2),BootEA,0.9311238753621714,0.9984737817507904,0.8722857142857143,1,15K
0,MLP,OnlyEmb,D-W(V2),RDGCN,0.8010908099263702,0.9373324824505423,0.6994285714285714,1,15K
3,MLP,SimAndEmb,D-W(V2),RDGCN,0.9052216748768472,0.9375510204081632,0.8750476190476191,1,15K
45,RF,OnlyEmb,D-W(V2),RDGCN,0.7796746565499798,0.9833260838045528,0.6459047619047619,1,15K
48,RF,SimAndEmb,D-W(V2),RDGCN,0.8671958807122935,0.9926326129666012,0.7699047619047619,1,15K
0,MLP,OnlyEmb,D-W(V2),MultiKE,0.9500718735026352,0.95602700096432,0.944190476190476,1,15K
3,MLP,SimAndEmb,D-W(V2),MultiKE,0.9468063872255488,0.9944444444444444,0.9035238095238096,1,15K
45,RF,OnlyEmb,D-W(V2),MultiKE,0.9396825396825396,0.9492711370262392,0.9302857142857144,1,15K
48,RF,SimAndEmb,D-W(V2),MultiKE,0.9269876706073368,0.9919643826691279,0.87,1,15K
0,MLP,OnlyEmb,D-W(V2),BootEA,0.9281092372751822,0.9979182644899748,0.8674285714285714,2,15K
3,MLP,SimAndEmb,D-W(V2),BootEA,0.9493930159364541,0.9984238730692444,0.9049523809523811,2,15K
45,RF,OnlyEmb,D-W(V2),BootEA,0.8349772802837193,0.9984097535117944,0.7175238095238096,2,15K
48,RF,SimAndEmb,D-W(V2),BootEA,0.9334889148191364,0.9988057757029638,0.8761904761904762,2,15K
0,MLP,OnlyEmb,D-W(V2),RDGCN,0.8147989505809284,0.9305368717133424,0.7246666666666667,2,15K
3,MLP,SimAndEmb,D-W(V2),RDGCN,0.9031873696753052,0.9433727442439328,0.8662857142857143,2,15K
45,RF,OnlyEmb,D-W(V2),RDGCN,0.7802921798911486,0.9791516894320632,0.6485714285714286,2,15K
48,RF,SimAndEmb,D-W(V2),RDGCN,0.8657389996239188,0.993097497842968,0.7673333333333333,2,15K
0,MLP,OnlyEmb,D-W(V2),MultiKE,0.9469700598802396,0.9526746987951809,0.9413333333333334,2,15K
3,MLP,SimAndEmb,D-W(V2),MultiKE,0.9223142185423694,0.9952570041914848,0.8593333333333333,2,15K
45,RF,OnlyEmb,D-W(V2),MultiKE,0.938328530259366,0.9465116279069768,0.9302857142857144,2,15K
48,RF,SimAndEmb,D-W(V2),MultiKE,0.933326603745016,0.9928057553956836,0.8805714285714286,2,15K
0,MLP,OnlyEmb,D-W(V2),BootEA,0.9345964841177364,0.9983764476674964,0.8784761904761905,3,15K
3,MLP,SimAndEmb,D-W(V2),BootEA,0.9518348623853212,0.9988488907492676,0.909047619047619,3,15K
45,RF,OnlyEmb,D-W(V2),BootEA,0.8389376621942467,0.9981605570884248,0.7235238095238096,3,15K
48,RF,SimAndEmb,D-W(V2),BootEA,0.9194692995988892,0.999329309188464,0.8514285714285714,3,15K
0,MLP,OnlyEmb,D-W(V2),RDGCN,0.8143641649617746,0.9367104285360416,0.7202857142857143,3,15K
3,MLP,SimAndEmb,D-W(V2),RDGCN,0.9046981197598848,0.94418556487522,0.8683809523809524,3,15K
45,RF,OnlyEmb,D-W(V2),RDGCN,0.8065820509940469,0.9828907747057212,0.6839047619047619,3,15K
48,RF,SimAndEmb,D-W(V2),RDGCN,0.8796649703138253,0.9919894787183166,0.7901904761904762,3,15K
0,MLP,OnlyEmb,D-W(V2),MultiKE,0.926083936898502,0.9664526817146408,0.8889523809523809,3,15K
3,MLP,SimAndEmb,D-W(V2),MultiKE,0.9701035438238296,0.990765564492106,0.9502857142857144,3,15K
45,RF,OnlyEmb,D-W(V2),MultiKE,0.9502919811992594,0.9474581084919056,0.9531428571428572,3,15K
48,RF,SimAndEmb,D-W(V2),MultiKE,0.9323551732861118,0.9944954128440368,0.8775238095238095,3,15K
0,MLP,OnlyEmb,D-W(V2),BootEA,0.9438732005818328,0.9970329553883648,0.8960952380952381,4,15K
3,MLP,SimAndEmb,D-W(V2),BootEA,0.9483422513377008,0.9984205538591134,0.9030476190476192,4,15K
45,RF,OnlyEmb,D-W(V2),BootEA,0.8500355366027007,0.9978179951225772,0.7403809523809524,4,15K
48,RF,SimAndEmb,D-W(V2),BootEA,0.9097510373443984,0.9988610478359908,0.8352380952380952,4,15K
0,MLP,OnlyEmb,D-W(V2),RDGCN,0.8108893312530263,0.9318659577099048,0.7177142857142857,4,15K
3,MLP,SimAndEmb,D-W(V2),RDGCN,0.9075987541405052,0.943661971830986,0.8741904761904762,4,15K
45,RF,OnlyEmb,D-W(V2),RDGCN,0.8174221041562898,0.9756903157616594,0.7033333333333334,4,15K
48,RF,SimAndEmb,D-W(V2),RDGCN,0.8715518159548408,0.9885237980188452,0.7793333333333333,4,15K
0,MLP,OnlyEmb,D-W(V2),MultiKE,0.9469018020622529,0.9582601911449191,0.9358095238095238,4,15K
3,MLP,SimAndEmb,D-W(V2),MultiKE,0.9581565183065234,0.9941634241245136,0.9246666666666666,4,15K
45,RF,OnlyEmb,D-W(V2),MultiKE,0.9412779828387899,0.9475919312807644,0.9350476190476189,4,15K
48,RF,SimAndEmb,D-W(V2),MultiKE,0.9261710794297352,0.9950765864332604,0.8661904761904762,4,15K
0,MLP,OnlyEmb,D-W(V2),BootEA,0.9401692183722804,0.9976485677640016,0.8889523809523809,5,15K
3,MLP,SimAndEmb,D-W(V2),BootEA,0.9622827804107424,0.9989749897498976,0.9281904761904762,5,15K
45,RF,OnlyEmb,D-W(V2),BootEA,0.8645495787427092,0.998502994011976,0.7622857142857142,5,15K
48,RF,SimAndEmb,D-W(V2),BootEA,0.9251470964441034,0.999557766721946,0.8610476190476191,5,15K
0,MLP,OnlyEmb,D-W(V2),RDGCN,0.7990598010276593,0.9377726456248396,0.6960952380952381,5,15K
3,MLP,SimAndEmb,D-W(V2),RDGCN,0.8994166163749748,0.9528985507246376,0.8516190476190476,5,15K
45,RF,OnlyEmb,D-W(V2),RDGCN,0.79563076574792,0.9804714744036824,0.6694285714285715,5,15K
48,RF,SimAndEmb,D-W(V2),RDGCN,0.8674685912857525,0.98878732480195,0.7726666666666666,5,15K
0,MLP,OnlyEmb,D-W(V2),MultiKE,0.9259517640023921,0.9710493311036791,0.8848571428571429,5,15K
3,MLP,SimAndEmb,D-W(V2),MultiKE,0.9524280976189298,0.9916503453252242,0.9161904761904762,5,15K
45,RF,OnlyEmb,D-W(V2),MultiKE,0.939698974211485,0.9459563790773982,0.9335238095238096,5,15K
48,RF,SimAndEmb,D-W(V2),MultiKE,0.9379227416203216,0.9895337773549,0.8914285714285715,5,15K
0,MLP,OnlyEmb,D-Y(V1),BootEA,0.8472046963296209,0.9992235020059532,0.7353333333333333,1,15K
3,MLP,SimAndEmb,D-Y(V1),BootEA,0.943401921819188,0.9998933560840354,0.8929523809523809,1,15K
45,RF,OnlyEmb,D-Y(V1),BootEA,0.7724137931034483,0.9996974281391829,0.6293333333333333,1,15K
48,RF,SimAndEmb,D-Y(V1),BootEA,0.9749914688246476,0.9987016878058524,0.9523809523809524,1,15K
0,MLP,OnlyEmb,D-Y(V1),RDGCN,0.948500497465296,0.9437164136890732,0.9533333333333334,1,15K
3,MLP,SimAndEmb,D-Y(V1),RDGCN,0.975297878523685,0.9923122412773506,0.9588571428571429,1,15K
45,RF,OnlyEmb,D-Y(V1),RDGCN,0.9575930106999117,0.9879481466477618,0.9290476190476189,1,15K
48,RF,SimAndEmb,D-Y(V1),RDGCN,0.9901730501893484,0.9968149792491072,0.9836190476190476,1,15K
0,MLP,OnlyEmb,D-Y(V1),MultiKE,0.9517469264784488,0.9716241690643912,0.9326666666666666,1,15K
3,MLP,SimAndEmb,D-Y(V1),MultiKE,0.991500600240096,0.999903147699758,0.9832380952380952,1,15K
45,RF,OnlyEmb,D-Y(V1),MultiKE,0.9402026688070632,0.9933220267118932,0.8924761904761904,1,15K
48,RF,SimAndEmb,D-Y(V1),MultiKE,0.9912751677852348,0.9979729729729728,0.9846666666666668,1,15K
0,MLP,OnlyEmb,D-Y(V1),BootEA,0.8013464171611137,0.999288560045532,0.6688571428571428,2,15K
3,MLP,SimAndEmb,D-Y(V1),BootEA,0.9278129467020626,0.9998899647887324,0.8654285714285714,2,15K
45,RF,OnlyEmb,D-Y(V1),BootEA,0.6941871308672677,0.9996418979409132,0.5317142857142857,2,15K
48,RF,SimAndEmb,D-Y(V1),BootEA,0.9662567634038368,0.9991861648016276,0.9354285714285714,2,15K
0,MLP,OnlyEmb,D-Y(V1),RDGCN,0.9504922377887164,0.9447685359427926,0.9562857142857144,2,15K
3,MLP,SimAndEmb,D-Y(V1),RDGCN,0.9787603784514386,0.9923649177760376,0.9655238095238096,2,15K
45,RF,OnlyEmb,D-Y(V1),RDGCN,0.9614072702465648,0.9843344641788068,0.9395238095238096,2,15K
48,RF,SimAndEmb,D-Y(V1),RDGCN,0.9911902709949248,0.996630078952436,0.9858095238095238,2,15K
0,MLP,OnlyEmb,D-Y(V1),MultiKE,0.949074527470375,0.9767184035476718,0.9229523809523811,2,15K
3,MLP,SimAndEmb,D-Y(V1),MultiKE,0.991983871741948,1.0,0.984095238095238,2,15K
45,RF,OnlyEmb,D-Y(V1),MultiKE,0.9417247081224632,0.993655493285397,0.8949523809523809,2,15K
48,RF,SimAndEmb,D-Y(V1),MultiKE,0.9920406597621788,0.9989378138277328,0.9852380952380952,2,15K
0,MLP,OnlyEmb,D-Y(V1),BootEA,0.8523068523068523,0.99872040946897,0.7433333333333333,3,15K
3,MLP,SimAndEmb,D-Y(V1),BootEA,0.9449522852837772,0.9996811902231668,0.8959047619047619,3,15K
45,RF,OnlyEmb,D-Y(V1),BootEA,0.7661323468968353,0.9989281886387996,0.6213333333333333,3,15K
48,RF,SimAndEmb,D-Y(V1),BootEA,0.9427982089852592,0.9992534925882478,0.8923809523809524,3,15K
0,MLP,OnlyEmb,D-Y(V1),RDGCN,0.9388999080837891,0.954085144036968,0.9241904761904762,3,15K
3,MLP,SimAndEmb,D-Y(V1),RDGCN,0.9746878491959384,0.9948428047208172,0.9553333333333334,3,15K
45,RF,OnlyEmb,D-Y(V1),RDGCN,0.9401786610458698,0.9937407171652876,0.8920952380952379,3,15K
48,RF,SimAndEmb,D-Y(V1),RDGCN,0.989917418859228,0.9981603408210691,0.9818095238095238,3,15K
0,MLP,OnlyEmb,D-Y(V1),MultiKE,0.9532911826692152,0.982025648793295,0.9261904761904762,3,15K
3,MLP,SimAndEmb,D-Y(V1),MultiKE,0.992275584128964,0.9998066325050758,0.9848571428571428,3,15K
45,RF,OnlyEmb,D-Y(V1),MultiKE,0.9426208970182912,0.9947117927022741,0.8957142857142857,3,15K
48,RF,SimAndEmb,D-Y(V1),MultiKE,0.9923737349513166,0.999613489226012,0.9852380952380952,3,15K
0,MLP,OnlyEmb,D-Y(V1),BootEA,0.8220253448469216,0.9994545950368148,0.6980952380952381,4,15K
3,MLP,SimAndEmb,D-Y(V1),BootEA,0.9256189891549008,0.9998894783377542,0.8616190476190476,4,15K
45,RF,OnlyEmb,D-Y(V1),BootEA,0.7252867285636265,0.9994982438534872,0.5691428571428572,4,15K
48,RF,SimAndEmb,D-Y(V1),BootEA,0.9643314612277072,0.9988773219024292,0.932095238095238,4,15K
0,MLP,OnlyEmb,D-Y(V1),RDGCN,0.94595498638123,0.9492663278028196,0.9426666666666668,4,15K
3,MLP,SimAndEmb,D-Y(V1),RDGCN,0.979289654504984,0.9953767460161322,0.9637142857142856,4,15K
45,RF,OnlyEmb,D-Y(V1),RDGCN,0.9510530999703354,0.9888957433682912,0.9159999999999999,4,15K
48,RF,SimAndEmb,D-Y(V1),RDGCN,0.9907034694268736,0.9970100308641976,0.9844761904761904,4,15K
0,MLP,OnlyEmb,D-Y(V1),MultiKE,0.9506293296907016,0.974494898979796,0.927904761904762,4,15K
3,MLP,SimAndEmb,D-Y(V1),MultiKE,0.9905805459438678,0.9998059759410168,0.9815238095238096,4,15K
45,RF,OnlyEmb,D-Y(V1),MultiKE,0.9394806890663452,0.9938369992561896,0.8907619047619048,4,15K
48,RF,SimAndEmb,D-Y(V1),MultiKE,0.9916127486220944,0.9980704293294742,0.9852380952380952,4,15K
0,MLP,OnlyEmb,D-Y(V1),BootEA,0.8605988283792579,0.9996219758064516,0.7555238095238095,5,15K
3,MLP,SimAndEmb,D-Y(V1),BootEA,0.946740220661986,0.9998940677966102,0.8989523809523811,5,15K
45,RF,OnlyEmb,D-Y(V1),BootEA,0.7733271049865702,0.9993963175369756,0.6306666666666667,5,15K
48,RF,SimAndEmb,D-Y(V1),BootEA,0.9647151586832248,0.999591503267974,0.9321904761904762,5,15K
0,MLP,OnlyEmb,D-Y(V1),RDGCN,0.94951225315251,0.9488349976224442,0.950190476190476,5,15K
3,MLP,SimAndEmb,D-Y(V1),RDGCN,0.9749927304448968,0.992599171107164,0.958,5,15K
45,RF,OnlyEmb,D-Y(V1),RDGCN,0.9553119315667864,0.9872980388171934,0.9253333333333332,5,15K
48,RF,SimAndEmb,D-Y(V1),RDGCN,0.991132627138954,0.9976840683199846,0.9846666666666668,5,15K
0,MLP,OnlyEmb,D-Y(V1),MultiKE,0.9530385387591204,0.9808487047676644,0.9267619047619048,5,15K
3,MLP,SimAndEmb,D-Y(V1),MultiKE,0.9908715287787068,0.9998060888113244,0.982095238095238,5,15K
45,RF,OnlyEmb,D-Y(V1),MultiKE,0.940002006621852,0.9931100275598898,0.8922857142857142,5,15K
48,RF,SimAndEmb,D-Y(V1),MultiKE,0.9923298178331736,0.999034749034749,0.9857142857142858,5,15K
0,MLP,OnlyEmb,D-Y(V2),BootEA,0.9768957634126172,0.9983099711700965,0.9563809523809524,1,15K
3,MLP,SimAndEmb,D-Y(V2),BootEA,0.9940613026819924,0.9998073217726396,0.9883809523809524,1,15K
45,RF,OnlyEmb,D-Y(V2),BootEA,0.8800298459734583,0.9991528500544596,0.7862857142857143,1,15K
48,RF,SimAndEmb,D-Y(V2),BootEA,0.9863132530120482,0.998341463414634,0.9745714285714284,1,15K
0,MLP,OnlyEmb,D-Y(V2),RDGCN,0.9461651567613718,0.9424548804686762,0.949904761904762,1,15K
3,MLP,SimAndEmb,D-Y(V2),RDGCN,0.9799816699628576,0.9928648225979864,0.9674285714285714,1,15K
45,RF,OnlyEmb,D-Y(V2),RDGCN,0.9648534344465508,0.9854036341972,0.9451428571428572,1,15K
48,RF,SimAndEmb,D-Y(V2),RDGCN,0.9913326629315712,0.9969180391023788,0.9858095238095238,1,15K
0,MLP,OnlyEmb,D-Y(V2),MultiKE,0.9733600687482096,0.9758759333716256,0.9708571428571428,1,15K
3,MLP,SimAndEmb,D-Y(V2),MultiKE,0.9945454545454544,0.9993269230769232,0.9898095238095238,1,15K
45,RF,OnlyEmb,D-Y(V2),MultiKE,0.9706257982120052,0.9641950944460108,0.9771428571428572,1,15K
48,RF,SimAndEmb,D-Y(V2),MultiKE,0.9951773862388388,0.9978933256726994,0.9924761904761904,1,15K
0,MLP,OnlyEmb,D-Y(V2),BootEA,0.9592159968323104,0.9985572959604286,0.9228571428571428,2,15K
3,MLP,SimAndEmb,D-Y(V2),BootEA,0.9892721412421224,0.9995139496451833,0.9792380952380952,2,15K
45,RF,OnlyEmb,D-Y(V2),BootEA,0.8416933083452761,0.9990840094216172,0.7271428571428571,2,15K
48,RF,SimAndEmb,D-Y(V2),BootEA,0.9851365698291672,0.9985325767951476,0.972095238095238,2,15K
0,MLP,OnlyEmb,D-Y(V2),RDGCN,0.9453388605032296,0.9570564122584424,0.933904761904762,2,15K
3,MLP,SimAndEmb,D-Y(V2),RDGCN,0.9812394502049676,0.9939423546653641,0.9688571428571428,2,15K
45,RF,OnlyEmb,D-Y(V2),RDGCN,0.9510365251727542,0.9870901639344264,0.9175238095238096,2,15K
48,RF,SimAndEmb,D-Y(V2),RDGCN,0.9913243541197334,0.9978770626266524,0.9848571428571428,2,15K
0,MLP,OnlyEmb,D-Y(V2),MultiKE,0.9696940588828586,0.978102897006104,0.9614285714285714,2,15K
3,MLP,SimAndEmb,D-Y(V2),MultiKE,0.9963702359346644,0.9993293734431884,0.9934285714285714,2,15K
45,RF,OnlyEmb,D-Y(V2),MultiKE,0.970142134885052,0.9717179438180776,0.9685714285714284,2,15K
48,RF,SimAndEmb,D-Y(V2),MultiKE,0.9957003630804512,0.9989455521472392,0.9924761904761904,2,15K
0,MLP,OnlyEmb,D-Y(V2),BootEA,0.9803655403112426,0.9984200651723116,0.962952380952381,3,15K
3,MLP,SimAndEmb,D-Y(V2),BootEA,0.9930512292135908,0.9994212404745828,0.9867619047619048,3,15K
45,RF,OnlyEmb,D-Y(V2),BootEA,0.9132930044982164,0.998982015609094,0.8411428571428572,3,15K
48,RF,SimAndEmb,D-Y(V2),BootEA,0.9847892220773576,0.9988245665589186,0.9711428571428572,3,15K
0,MLP,OnlyEmb,D-Y(V2),RDGCN,0.9467028003613368,0.9452197854362479,0.948190476190476,3,15K
3,MLP,SimAndEmb,D-Y(V2),RDGCN,0.9782608695652174,0.9926470588235294,0.9642857142857144,3,15K
45,RF,OnlyEmb,D-Y(V2),RDGCN,0.9615440996823844,0.9873557451078776,0.9370476190476189,3,15K
48,RF,SimAndEmb,D-Y(V2),RDGCN,0.9919532522272247,0.9977837733667372,0.9861904761904762,3,15K
0,MLP,OnlyEmb,D-Y(V2),MultiKE,0.9740694670366472,0.9786579503941548,0.9695238095238096,3,15K
3,MLP,SimAndEmb,D-Y(V2),MultiKE,0.9954115285345568,0.9991364421416234,0.9917142857142855,3,15K
45,RF,OnlyEmb,D-Y(V2),MultiKE,0.9741448835333744,0.9705076094148786,0.9778095238095238,3,15K
48,RF,SimAndEmb,D-Y(V2),MultiKE,0.9949830378900092,0.9983699300028764,0.9916190476190476,3,15K
0,MLP,OnlyEmb,D-Y(V2),BootEA,0.9804549202192152,0.9989129360608756,0.9626666666666668,4,15K
3,MLP,SimAndEmb,D-Y(V2),BootEA,0.9940125496958376,0.9999036330345956,0.9881904761904762,4,15K
45,RF,OnlyEmb,D-Y(V2),BootEA,0.9062988027069234,0.9994259471871412,0.8290476190476189,4,15K
48,RF,SimAndEmb,D-Y(V2),BootEA,0.9891769685891578,0.9993196617747108,0.9792380952380952,4,15K
0,MLP,OnlyEmb,D-Y(V2),RDGCN,0.9522589217919514,0.9490162693908436,0.9555238095238096,4,15K
3,MLP,SimAndEmb,D-Y(V2),RDGCN,0.9823444283646888,0.9953079178885632,0.9697142857142858,4,15K
45,RF,OnlyEmb,D-Y(V2),RDGCN,0.965060648528488,0.9795938389090552,0.950952380952381,4,15K
48,RF,SimAndEmb,D-Y(V2),RDGCN,0.9933014354066986,0.9980769230769232,0.9885714285714284,4,15K
0,MLP,OnlyEmb,D-Y(V2),MultiKE,0.9733923556570993,0.9729755447711486,0.9738095238095238,4,15K
3,MLP,SimAndEmb,D-Y(V2),MultiKE,0.9967529366822652,0.9995211645278682,0.9940000000000001,4,15K
45,RF,OnlyEmb,D-Y(V2),MultiKE,0.9705896282263794,0.9653320772491756,0.975904761904762,4,15K
48,RF,SimAndEmb,D-Y(V2),MultiKE,0.9966577540106952,0.9993297587131368,0.9940000000000001,4,15K
0,MLP,OnlyEmb,D-Y(V2),BootEA,0.9757357240304034,0.99890263367917,0.9536190476190476,5,15K
3,MLP,SimAndEmb,D-Y(V2),BootEA,0.9946385830540928,0.9999037536092396,0.9894285714285714,5,15K
45,RF,OnlyEmb,D-Y(V2),BootEA,0.8971923379690371,0.9991817650496786,0.8140952380952381,5,15K
48,RF,SimAndEmb,D-Y(V2),BootEA,0.9852231021827312,0.999314263322884,0.9715238095238096,5,15K
0,MLP,OnlyEmb,D-Y(V2),RDGCN,0.9447365904962234,0.94845459781148,0.9410476190476189,5,15K
3,MLP,SimAndEmb,D-Y(V2),RDGCN,0.9824950571442348,0.9951157565693074,0.9701904761904762,5,15K
45,RF,OnlyEmb,D-Y(V2),RDGCN,0.95830263739502,0.9893519926985092,0.9291428571428572,5,15K
48,RF,SimAndEmb,D-Y(V2),RDGCN,0.991561990603126,0.998358756516702,0.9848571428571428,5,15K
0,MLP,OnlyEmb,D-Y(V2),MultiKE,0.9748868239218491,0.975584167858846,0.9741904761904762,5,15K
3,MLP,SimAndEmb,D-Y(V2),MultiKE,0.9958446768878062,0.9988502443230812,0.9928571428571428,5,15K
